id,name,brand,family,top_notes,middle_notes,base_notes,mood_tags,valence,arousal,dominance,source
615,Il Vs Iris Eau de Parfum,Unknown,floral,black_pepper,iris,almond|sandalwood,joyful,0.6775,0.4325,0.5,huggingface
616,Acquiiissssima Eau de Parfum,Unknown,fresh,green_tea,marine|jasmine,,joyful,0.76,0.59,0.45,huggingface
617,Fraaagola Saalaaata Eau de Parfum,Unknown,citrus,mandarin,,,joyful|energetic|delicate,0.87,0.72,0.38,huggingface
618,L'etre Aime - Femme Eau de Parfum,Unknown,floral,bergamot,neroli|jasmine|lily_of_the_valley|rose,labdanum|sandalwood|vetiver,joyful,0.6837,0.4475,0.54,huggingface
619,Ambra Eau de Parfum ...,Unknown,oriental,orange|bergamot,geranium,frankincense|patchouli|vanilla|labdanum|amber,balanced,0.65,0.4437,0.5375,huggingface
620,Madera Eau de Parfum,Unknown,gourmand,mandarin,rose,vanilla|caramel|tobacco|coconut|white_musk,joyful,0.75,0.4114,0.42,huggingface
621,Onice Eau de Parfum ...,Unknown,floral,bergamot|mandarin|mint,geranium|pine|rose|jasmine|ylang_ylang,sandalwood|white_musk|cedar|amber,joyful,0.7092,0.51,0.5075,huggingface
622,Vaniglia del Madagascar Parfum Concentration,Unknown,oriental,lemon,rose,amber|vanilla,joyful,0.8,0.44,0.4325,huggingface
623,Reve en Cuir Eau de Parfum,Unknown,citrus,bergamot|lemon,cardamom|clove,cedar|patchouli|vanilla|tobacco|leather,balanced,0.5833,0.5622,0.5944,huggingface
624,Patchouly Indonesiano Parfum ...,Unknown,woody,,,patchouli,melancholic|powerful,0.35,0.42,0.72,huggingface
625,Ambra Nera Parfum ...,Unknown,oriental,eucalyptus,,amber|benzoin|vetiver|vanilla,joyful|calming,0.656,0.374,0.5,huggingface
626,Chia Eau de Parfum,Unknown,oriental,orange,rose,almond|vanilla|amber|white_musk,joyful|calming,0.7867,0.38,0.41,huggingface
627,Cara Eau de Parfum,Unknown,oriental,,,amber|caramel|almond|vanilla,joyful|calming|delicate,0.8,0.275,0.35,huggingface
628,Takis Eau de Parfum,Unknown,floral,lemon,rose|ylang_ylang|oakmoss,white_musk|vanilla,joyful,0.7317,0.4317,0.465,huggingface
629,Perla Eau de Toilette,Unknown,oriental,lemon,,amber|vanilla,joyful|delicate,0.8,0.4467,0.3933,huggingface
630,Royal Muska Eau de Parfum,Unknown,floral,mandarin,ylang_ylang|rose,cedar|white_musk|benzoin,joyful,0.72,0.4333,0.51,huggingface
631,Vanille Oud Eau de Parfum,Unknown,oriental,bergamot,ylang_ylang,oud|caramel|white_musk|vanilla|benzoin,joyful,0.7186,0.4071,0.4729,huggingface
632,Gaiac Eau de Parfum,Unknown,citrus,bergamot,jasmine|clove,vetiver|vanilla,joyful,0.68,0.492,0.534,huggingface
633,Homme (Aoud) Eau de Parfum,Unknown,woody,,rose|cinnamon|saffron,oud|sandalwood|honey|patchouli,powerful,0.5814,0.46,0.6429,huggingface
634,Avant Garde Eau de Parfum,Unknown,oriental,bergamot|grapefruit,coffee,tobacco|frankincense|leather|tonka_bean|amber,powerful,0.5962,0.5275,0.605,huggingface
635,Manakara Eau de Parfum,Unknown,floral,,rose,,joyful,0.8,0.42,0.55,huggingface
636,Isvaraya Eau de Parfum,Unknown,woody,mandarin,jasmine,patchouli,joyful,0.6567,0.5533,0.5733,huggingface
637,L'Inspiratrice Eau de Parfum,Unknown,floral,,rose|ylang_ylang,vanilla|tonka_bean|vetiver|patchouli,calming,0.65,0.3633,0.5333,huggingface
638,All That Matters Eau de Parfum,Unknown,musk,,lily_of_the_valley,white_musk|sandalwood,joyful|calming,0.7133,0.3333,0.4367,huggingface
639,Mazzolari Eau de Toilette,Unknown,woody,black_pepper,,sandalwood|vetiver,powerful,0.54,0.4733,0.6167,huggingface
640,Lui Eau de Toilette,Unknown,woody,black_pepper,,sandalwood|cedar|patchouli|ambroxan|vetiver,powerful,0.5233,0.4367,0.64,huggingface
641,Alessandro Eau de Toilette,Unknown,gourmand,,,almond|honey|vanilla,joyful|calming|delicate,0.8233,0.2733,0.32,huggingface
642,Musk Eau de Toilette,Unknown,spicy,black_pepper,,,energetic|powerful,0.55,0.8,0.65,huggingface
643,Patchouli Eau de Toilette,Unknown,woody,black_pepper,,patchouli|amber|honey,balanced,0.5875,0.46,0.5875,huggingface
644,L'ame Soeur Eau de Parfum,Unknown,floral,,jasmine|rose|ylang_ylang,ambroxan,joyful,0.7175,0.4725,0.6,huggingface
645,Douceur de Vanille Eau de Parfum,Unknown,gourmand,,coffee|rose,vanilla|almond,joyful,0.7675,0.41,0.4375,huggingface
646,Opoponax Eau de Parfum,Unknown,oriental,bergamot,,frankincense|amber|vanilla|sandalwood|benzoin,joyful|calming,0.6917,0.35,0.5217,huggingface
647,Patchouli Precieux Eau de Parfum,Unknown,woody,orange|green_tea,pine,benzoin|sandalwood|patchouli|vanilla|white_musk,joyful,0.6787,0.4187,0.4663,huggingface
648,Black Gardenia Perfume Oil,Unknown,floral,,rose,,joyful,0.8,0.42,0.55,huggingface
649,Divine Eau de Parfum,Unknown,floral,mandarin|black_pepper,tuberose|rose,white_musk|vanilla,joyful,0.74,0.5067,0.4817,huggingface
650,L'Infante Eau de Parfum,Unknown,floral,mandarin,jasmine|peony,ambroxan|vanilla|white_musk|tonka_bean,joyful|calming,0.7686,0.3986,0.4543,huggingface
651,Molecule 05 Eau de Toilette,Unknown,floral,,rose,,joyful,0.8,0.42,0.55,huggingface
652,Escentric 05 Eau de Toilette,Unknown,floral,green_tea|bergamot|orange|basil,rose|iris|jasmine,labdanum|ambroxan|iso_e_super,joyful,0.705,0.517,0.519,huggingface
653,Explicite Eau de Parfum,Unknown,floral,pink_pepper,peony|lily_of_the_valley,caramel|vanilla|sandalwood|amber,joyful|calming,0.7529,0.3886,0.4329,huggingface
654,Triad Extrait de Parfum,Unknown,floral,,magnolia|rose,oud|tonka_bean|benzoin,joyful|calming,0.672,0.364,0.564,huggingface
655,Arborist Eau de Parfum,Unknown,floral,,saffron|magnolia|rose|tuberose,honey|frankincense|benzoin|labdanum,calming|powerful,0.635,0.3938,0.6,huggingface
656,Eau Capitale Eau de Parfum,Unknown,citrus,bergamot|pink_pepper,rose,patchouli,joyful,0.6625,0.5925,0.555,huggingface
657,Fougere L'Aube Eau de Toilette,Unknown,floral,bergamot,geranium|oakmoss|rose,white_musk|sandalwood|amber,joyful,0.68,0.4071,0.5229,huggingface
658,Medie Eau de Parfum,Unknown,citrus,grapefruit|mandarin,jasmine,,joyful|energetic,0.8133,0.68,0.44,huggingface
659,Borneo Oud Pure Oud Oil,Unknown,woody,,,oud,melancholic|powerful,0.35,0.5,0.9,huggingface
660,Chypre Azural Eau de Parfum,Unknown,citrus,orange,rose,patchouli|amber,joyful,0.67,0.48,0.555,huggingface
661,L'Eau des Sacres,Unknown,floral,pink_pepper|orange,geranium|rose,honey|tonka_bean|sandalwood|ambroxan,joyful,0.7275,0.4688,0.4912,huggingface
662,Awake Eau de Parfum,Unknown,gourmand,lemon,coffee|cardamom,vetiver,balanced,0.65,0.64,0.5375,huggingface
663,B683 Eau de Parfum,Unknown,woody,black_pepper,saffron|violet|oakmoss,amber|labdanum|white_musk|patchouli|cedar|ambroxan,powerful,0.548,0.414,0.626,huggingface
664,Ramune (Japanese Soda) Eau de Parfum,Unknown,citrus,mint|lemon|mandarin|bergamot,rose|lily_of_the_valley|marine|magnolia,white_musk|amber|cedar|sandalwood|vanilla,joyful,0.7608,0.5046,0.4308,huggingface
665,Fille en Aiguilles Eau de Parfum,Unknown,woody,black_pepper,pine,vetiver|benzoin|frankincense,powerful,0.546,0.44,0.63,huggingface
666,Purple Haze Eau de Parfum,Unknown,woody,bergamot|black_pepper,violet,vanilla|patchouli|white_musk|cedar,joyful,0.66,0.4614,0.4957,huggingface
667,Peau de Peche Eau de Parfum,Unknown,citrus,mandarin,iris,sandalwood|amber,joyful,0.715,0.4175,0.5075,huggingface
668,Lost Cherry Eau de Parfum,Unknown,oriental,mandarin,rose,almond|benzoin|tonka_bean,joyful|calming,0.784,0.384,0.44,huggingface
669,Over the Chocolate Shop Eau de Parfum,Unknown,gourmand,,coffee,caramel|vanilla,joyful|delicate,0.7767,0.4133,0.3733,huggingface
670,Eleventh Hour Eau de Parfum,Unknown,spicy,black_pepper|bergamot|green_tea,,tonka_bean|cedar,joyful,0.696,0.546,0.488,huggingface
671,Sabbia Bianca Eau de Parfum,Unknown,floral,,tuberose|violet|ylang_ylang,,joyful,0.7,0.51,0.55,huggingface
672,Sundrunk Eau de Parfum,Unknown,floral,green_tea|orange,neroli|rose,honey,joyful,0.808,0.524,0.416,huggingface
673,The Time Eau de Parfum,Unknown,citrus,bergamot|lemon,iris,cedar|white_musk|amber,joyful,0.7317,0.48,0.4667,huggingface
674,Vanilla Cake Eau de Parfum,Unknown,gourmand,,,almond|vanilla|caramel,joyful|calming|delicate,0.85,0.2667,0.2667,huggingface
675,Freeway Eau de Parfum,Unknown,citrus,petitgrain|orange,,tobacco|cedar|vanilla,joyful,0.662,0.51,0.504,huggingface
676,20 Mars 2022 Eau de Parfum,Unknown,spicy,pink_pepper|black_pepper|mandarin,saffron|cinnamon|jasmine|lily_of_the_valley|rose,frankincense|patchouli|vetiver|sandalwood|cedar|vanilla|tonka_bean|labdanum|white_musk|ambroxan,balanced,0.6333,0.4483,0.5706,huggingface
677,Une Amourette Roland Mouret Eau de Parfum,Unknown,floral,,iris|jasmine,cedar|vanilla,joyful|calming,0.7175,0.3675,0.505,huggingface
678,Le Cri De La Lumiere Eau de Parfum,Unknown,floral,,rose|iris,ambroxan,joyful|calming,0.7133,0.39,0.5667,huggingface
679,Wulong Cha Extrait de Parfum,Unknown,citrus,bergamot|orange|mandarin|green_tea,,white_musk,joyful|delicate,0.82,0.616,0.372,huggingface
680,Lily Eau de Toilette,Unknown,floral,green_tea,lily_of_the_valley|rose,,joyful,0.7933,0.4633,0.4267,huggingface
681,1969 Travel Spray Eau de Parfum,Unknown,spicy,mandarin,rose|cardamom|clove|coffee,patchouli|white_musk,balanced,0.6414,0.5586,0.5643,huggingface
682,Guimauve de Noel Eau de Parfum,Unknown,citrus,orange,,vanilla,joyful|delicate,0.865,0.5,0.315,huggingface
683,Roaring Radcliff Eau de Parfum,Unknown,leather,ginger,,tobacco,powerful,0.45,0.635,0.7,huggingface
684,Willows Eau de Parfum,Unknown,floral,black_pepper,iris|violet,tonka_bean,joyful,0.6925,0.445,0.4975,huggingface
685,Baraonda Extrait de Parfum,Unknown,citrus,mandarin,,benzoin|oud,powerful,0.6333,0.49,0.61,huggingface
686,Don't Cry For Me Eau de Parfum,Unknown,floral,mandarin,jasmine,amber|cedar|ambroxan,joyful,0.688,0.464,0.574,huggingface
687,Ilm Parfum,Unknown,woody,,,oud,melancholic|powerful,0.35,0.5,0.9,huggingface
688,Vetiver Moloko Eau de Parfum,Unknown,woody,bergamot,rose,vanilla|vetiver|sandalwood,joyful,0.714,0.402,0.486,huggingface
689,Fleur Narcotique Eau de Parfum,Unknown,citrus,bergamot|mandarin|orange,jasmine|peony|oakmoss,cedar|white_musk,joyful,0.7325,0.5163,0.4875,huggingface
690,Royal Mayfair Eau de Parfum,Unknown,citrus,lime|orange|eucalyptus,pine|rose,cedar,joyful,0.7133,0.6233,0.465,huggingface
691,JF Eau de Toilette,Unknown,citrus,bergamot|green_tea|basil|lemon|lime|mandarin|petitgrain,oakmoss,amber|cedar|white_musk,joyful,0.7291,0.5664,0.4455,huggingface
692,Morn To Dusk Eau de Parfum,Unknown,citrus,bergamot,lily_of_the_valley,vanilla|white_musk,joyful|delicate,0.805,0.4175,0.36,huggingface
693,Marrakech Intense Eau de Toilette,Unknown,spicy,bergamot,clove|cardamom|jasmine|rose,cedar,joyful,0.6833,0.57,0.5817,huggingface
694,Moon Bloom Eau de Parfum,Unknown,floral,green_tea,tuberose|jasmine|ylang_ylang,coconut|benzoin,joyful,0.735,0.4817,0.505,huggingface
695,Relique d'Amour Eau de Parfum,Unknown,woody,bergamot|black_pepper,pine|iris|oakmoss,frankincense|white_musk|cedar,balanced,0.6075,0.4613,0.5688,huggingface
696,Palermo Eau de Parfum,Unknown,citrus,bergamot|petitgrain,rose,white_musk|ambroxan,joyful,0.748,0.5,0.48,huggingface
697,Sorriso Eau de Parfum,Unknown,gourmand,orange,coffee,cedar,joyful,0.6767,0.6267,0.53,huggingface
698,Tam Dao - Eau de Parfum,Unknown,woody,lime|ginger,,sandalwood|cedar|vanilla|amber,joyful,0.69,0.4633,0.4833,huggingface
699,Eau Duelle - Eau de Parfum,Unknown,oriental,pink_pepper|mandarin,cardamom,frankincense|labdanum|vanilla,joyful,0.6567,0.5,0.5433,huggingface
700,Korrigan Eau de Parfum,Unknown,woody,mandarin,saffron|geranium,ambroxan|cedar|oud|leather|vetiver|white_musk,powerful,0.5589,0.4756,0.6378,huggingface
701,Bois d'Ascese Eau de Parfum,Unknown,oriental,,cinnamon|oakmoss,tobacco|amber|labdanum|cedar|frankincense,calming|powerful,0.5029,0.3943,0.6914,huggingface
702,Philosykos - Eau de Parfum,Unknown,fresh,green_tea,,cedar,joyful,0.665,0.465,0.485,huggingface
703,1969 Eau de Parfum,Unknown,spicy,mandarin,rose|cardamom|clove|coffee,patchouli|white_musk,balanced,0.6414,0.5586,0.5643,huggingface
704,Jardin du Poete Eau de Toilette,Unknown,citrus,orange|grapefruit|mandarin|petitgrain|basil,cardamom|lily_of_the_valley|rose|oakmoss,white_musk,joyful,0.739,0.572,0.451,huggingface
705,Eau Duelle - Eau de Toilette,Unknown,oriental,,cardamom|saffron,frankincense|amber|vanilla|white_musk,calming,0.6367,0.3933,0.565,huggingface
706,Tilda Swinton Like This Eau de Parfum,Unknown,floral,mandarin|ginger,neroli|rose,vetiver|white_musk,joyful,0.7067,0.5067,0.4933,huggingface
707,Nio Eau de Parfum,Unknown,woody,bergamot|pink_pepper|green_tea,neroli|cardamom,cedar|vetiver|patchouli|amber,balanced,0.6344,0.5278,0.5467,huggingface
708,Philosykos - Eau de Toilette,Unknown,fresh,green_tea,,cedar,joyful,0.665,0.465,0.485,huggingface
709,Jubilation XXV Eau de Parfum,Unknown,woody,mandarin|orange,rose|cinnamon|clove|oakmoss,frankincense|labdanum|cedar|honey|patchouli|white_musk|ambroxan|oud,powerful,0.6057,0.4593,0.6014,huggingface
710,L'Air du desert marocain Eau de Toilette ...,Unknown,citrus,petitgrain|lemon|bergamot,jasmine|geranium,labdanum|cedar|vetiver|amber,joyful,0.6689,0.5044,0.5344,huggingface
711,Flaming Dandelion Eau de Parfum,Unknown,woody,,ylang_ylang|iris|oakmoss,tobacco|vanilla|amber|sandalwood|vetiver,calming,0.5862,0.3575,0.5887,huggingface
712,Petra Eau de Parfum,Unknown,oriental,bergamot|mandarin|pink_pepper,jasmine|rose,frankincense|patchouli|benzoin|leather|amber,balanced,0.642,0.504,0.6,huggingface
713,Amber Aquilaria Parfum,Unknown,woody,bergamot,rose,ambroxan|sandalwood|vanilla|oud,joyful,0.6817,0.4317,0.555,huggingface
714,Rhodanthe Eau de Parfum,Unknown,citrus,bergamot|lemon|mandarin|pink_pepper,clove|saffron|violet|rose,oud|amber|cedar|white_musk|vanilla|patchouli,joyful,0.66,0.5143,0.5443,huggingface
715,Trajan Eau de Parfum,Unknown,citrus,mandarin|lemon|bergamot|orange,geranium|saffron|oakmoss,cedar|amber,joyful,0.6967,0.57,0.5144,huggingface
716,Black Caviar Eau de Parfum,Unknown,woody,,geranium|rose,cedar|vetiver|patchouli,powerful,0.57,0.408,0.604,huggingface
717,Capua Eau de Parfum,Unknown,woody,,,cedar|vetiver|amber,calming|powerful,0.55,0.3333,0.6233,huggingface
718,Vixere Eau de Parfum,Unknown,citrus,mandarin|bergamot|orange|grapefruit,ylang_ylang|jasmine|iris|violet,sandalwood|patchouli|white_musk|tonka_bean|vanilla|amber,joyful,0.7343,0.4729,0.4657,huggingface
719,Octavian Parfum,Unknown,spicy,pink_pepper,saffron|rose,frankincense|amber|oud,powerful,0.5667,0.4767,0.6917,huggingface
720,Phtaloblue Eau de Parfum,Unknown,citrus,bergamot|lemon|orange,geranium|marine,vanilla|amber|tonka_bean|cedar,joyful,0.7644,0.5222,0.4256,huggingface
721,Kira Kira Eau de Parfum,Unknown,fresh,mint|mandarin|green_tea,lily_of_the_valley,white_musk|sandalwood|ambroxan,joyful,0.7371,0.5029,0.4386,huggingface
722,Iridescent Sky Eau de Parfum,Unknown,citrus,grapefruit|green_tea|bergamot|lemon|mandarin,neroli|pine|iris|rose,vetiver|ambroxan|white_musk|tobacco,joyful,0.7031,0.5408,0.4869,huggingface
723,Magenta Pop Eau de Parfum,Unknown,spicy,grapefruit|mandarin|black_pepper|ginger,rose|iris|cinnamon,amber|honey|leather|cedar|tobacco|caramel,joyful,0.6585,0.5338,0.5462,huggingface
724,Eternal Summer Eau de Parfum,Unknown,woody,mandarin|green_tea,neroli|rose|oakmoss,sandalwood|vetiver|honey,joyful,0.69,0.435,0.5012,huggingface
725,Comme Un Carrousel Eau de Parfum,Unknown,gourmand,mandarin|basil|orange|ginger,coffee|rose|cinnamon|clove,honey|coconut|tobacco|vanilla|frankincense|amber,joyful,0.6843,0.5307,0.5257,huggingface
726,Haxan Eau de Parfum,Unknown,woody,basil|black_pepper,saffron|geranium|rose|jasmine|clove,cedar|benzoin|honey|frankincense|labdanum|tobacco|sandalwood|vetiver|patchouli,powerful,0.5675,0.4506,0.6288,huggingface
727,Vivacious Eau de Parfum,Unknown,floral,bergamot,violet|iris,amber,joyful,0.7425,0.445,0.48,huggingface
728,Papelato Eau de Parfum,Unknown,woody,mandarin,pine,white_musk,joyful,0.7133,0.5167,0.4367,huggingface
729,Lili Laa Eau de Parfum,Unknown,floral,orange,lily_of_the_valley,amber,joyful,0.7767,0.5,0.4433,huggingface
730,Mamok Eau de Parfum,Unknown,spicy,black_pepper,pine,honey,balanced,0.6333,0.5567,0.5267,huggingface
731,Aurora Eau de Parfum,Unknown,spicy,,saffron|clove|cardamom|rose,oud|sandalwood|patchouli|amber|white_musk,powerful,0.5656,0.4611,0.6444,huggingface
732,Auster Eau de Parfum,Unknown,woody,lemon,geranium|clove,cedar|ambroxan|patchouli,balanced,0.6033,0.5283,0.5817,huggingface
733,Jupiter Eau de Parfum,Unknown,woody,,saffron,oud|frankincense|labdanum|patchouli|sandalwood|cedar|vetiver|amber|tonka_bean|ambroxan|white_musk|vanilla,calming|powerful,0.56,0.3485,0.6185,huggingface
734,Sir Winston Attar Perfume Oil,Unknown,leather,,rose,tobacco|oud,powerful,0.4767,0.48,0.7667,huggingface
735,Mysterious Oud Attar Perfume Oil,Unknown,floral,mandarin,rose,oud|benzoin,joyful,0.675,0.4725,0.595,huggingface
736,Gheorghe Eau de Parfum,Unknown,oriental,mandarin|black_pepper,clove,benzoin|tobacco|tonka_bean|sandalwood|patchouli|labdanum|vanilla,balanced,0.587,0.443,0.584,huggingface
737,Scotch Peat Eau de Parfum,Unknown,oriental,mandarin,oakmoss|coffee|iris|geranium,labdanum|cedar|tonka_bean|tobacco|honey|leather,balanced,0.5845,0.4509,0.5955,huggingface
738,Eau De Parfum Eau de Parfum,Unknown,floral,orange|lemon|mint,geranium|ylang_ylang|neroli|clove|cardamom,tobacco|frankincense|sandalwood|amber,joyful,0.6592,0.5667,0.5492,huggingface
739,Tuberose & Moss Eau de Toilette,Unknown,woody,black_pepper,tuberose|oakmoss,vanilla|cedar|labdanum|white_musk,balanced,0.5943,0.4114,0.5714,huggingface
740,Lipstick Fever Eau de Parfum,Unknown,floral,mandarin,violet|iris,patchouli|vanilla,joyful,0.708,0.418,0.46,huggingface
741,La Surprise Eau de Parfum,Unknown,fresh,green_tea|mandarin,cardamom|rose,cedar|white_musk,joyful,0.7283,0.5083,0.4767,huggingface
742,L'Aimee Eau de Parfum,Unknown,woody,bergamot|mandarin|orange,rose|jasmine|iris|oakmoss,cedar|vetiver|patchouli|sandalwood|benzoin|tonka_bean|vanilla|amber|ambroxan|white_musk,joyful,0.6782,0.4094,0.5247,huggingface
743,Siberian Rose Eau de Parfum,Unknown,floral,pink_pepper|mandarin,cinnamon|tuberose|ylang_ylang|rose|oakmoss,leather|patchouli|amber,powerful,0.611,0.537,0.621,huggingface
744,Milano Eau de Parfum,Unknown,citrus,bergamot|orange|mandarin,saffron|jasmine,frankincense|leather|white_musk|amber|cedar|vanilla,joyful,0.6718,0.4918,0.5509,huggingface
745,Bohemian Lime Parfum Concentrate,Unknown,woody,lime|bergamot,,cedar|vetiver|sandalwood,joyful,0.664,0.516,0.504,huggingface
746,Cielito Lindo Extrait de Parfum,Unknown,oriental,,cinnamon|rose,caramel|tonka_bean|labdanum|vanilla|sandalwood|vetiver,joyful|calming,0.6837,0.3488,0.4988,huggingface
747,Pure Oud Pure Oud Oil,Unknown,woody,,,oud,melancholic|powerful,0.35,0.5,0.9,huggingface
748,Coup de Foudre Eau de Parfum,Unknown,citrus,bergamot|lemon|orange|grapefruit|green_tea|black_pepper,jasmine|rose|ylang_ylang|tuberose|cinnamon|pine|guaiac_wood,tonka_bean|vanilla|benzoin|labdanum|sandalwood|oud,joyful,0.6884,0.5258,0.5258,huggingface
749,Vesna Cologne Eau de Parfum,Unknown,citrus,lemon|mandarin,pine|magnolia,,joyful,0.775,0.6225,0.4075,huggingface
750,Moss Cologne Eau de Parfum,Unknown,citrus,bergamot|lemon|orange|grapefruit,oakmoss|violet|jasmine|ylang_ylang,ambroxan|cedar|labdanum|tonka_bean|vanilla,joyful,0.7123,0.4962,0.4908,huggingface
751,Golden Dallah Eau de Parfum,Unknown,oriental,,coffee|rose,frankincense|oud|amber|tonka_bean,powerful,0.6083,0.4117,0.64,huggingface
752,Couleur Vanille Eau de Parfum,Unknown,citrus,bergamot,,vanilla,joyful|delicate,0.85,0.485,0.34,huggingface
753,Bat Extrait de Parfum,Unknown,fresh,green_tea|mandarin,jasmine,frankincense|leather|vetiver,powerful,0.6117,0.4983,0.605,huggingface
754,Sloth Extrait de Parfum,Unknown,floral,mandarin,geranium|violet|jasmine|oakmoss,honey|frankincense|vanilla|tonka_bean,joyful|calming,0.71,0.3878,0.4922,huggingface
755,Keman Parfum,Unknown,floral,yuzu|mandarin,rose|geranium|jasmine,oud,joyful,0.7117,0.5683,0.5467,huggingface
756,Fleurs des Iles Eau de Parfum,Unknown,citrus,mandarin,,,joyful|energetic|delicate,0.87,0.72,0.38,huggingface
757,9mm Eau de Parfum,Unknown,spicy,bergamot|pink_pepper,cardamom|jasmine|oakmoss,leather|vetiver|white_musk,balanced,0.6012,0.5312,0.595,huggingface
758,Sayat Nova Extrait de Parfum,Unknown,woody,mandarin,magnolia|oakmoss,oud|vanilla,joyful,0.654,0.428,0.532,huggingface
759,Accento Overdose Eau de Parfum,Unknown,fresh,mandarin|green_tea|eucalyptus,pine|jasmine,,joyful,0.72,0.624,0.464,huggingface
760,Oud Stars - Alexandria III Parfum,Unknown,floral,,rose|geranium|cinnamon|lily_of_the_valley,cedar|oud|amber|sandalwood|white_musk|vanilla,joyful,0.674,0.4,0.534,huggingface
761,Atlante Extrait de Parfum,Unknown,floral,yuzu|pink_pepper,marine|iris|lily_of_the_valley,cedar|ambroxan,joyful,0.6986,0.54,0.49,huggingface
762,Charade Extrait de Parfum,Unknown,woody,,tuberose|ylang_ylang|oakmoss,benzoin|leather|patchouli|honey|sandalwood|amber|vetiver,calming|powerful,0.564,0.396,0.626,huggingface
763,Greek Keys Extrait de Parfum,Unknown,citrus,grapefruit|lemon|mandarin,rose|oakmoss,cedar|vetiver|tonka_bean,joyful,0.695,0.5012,0.4925,huggingface
764,Jungle Jezebel Extrait de Parfum,Unknown,citrus,orange|grapefruit|mandarin,rose|tuberose|ylang_ylang,amber|sandalwood|vetiver|vanilla|tonka_bean,joyful,0.7309,0.4782,0.4845,huggingface
765,Lace Extrait de Parfum,Unknown,musk,,jasmine,white_musk|coconut|ambroxan|vanilla|cedar,joyful|calming,0.7233,0.37,0.4717,huggingface
766,Leopard Extrait de Parfum,Unknown,woody,black_pepper,cardamom|rose|violet,frankincense|sandalwood|patchouli|vetiver|labdanum|honey|white_musk,balanced,0.6009,0.4109,0.5773,huggingface
767,Rules of Attraction Extrait de Parfum,Unknown,floral,grapefruit,iris|jasmine|tuberose|neroli,white_musk|leather|vanilla|cedar,joyful,0.6844,0.4778,0.5222,huggingface
768,Tartan Extrait de Parfum,Unknown,leather,,,cedar|leather|tobacco|labdanum,melancholic|powerful,0.3925,0.45,0.7675,huggingface
769,Proxima Eau de Parfum,Unknown,floral,grapefruit|mandarin,rose|iris|jasmine,cedar|white_musk,joyful,0.7471,0.4957,0.4814,huggingface
770,New York Intense Eau de Parfum,Unknown,woody,orange|mandarin,cinnamon|rose|guaiac_wood|clove|oakmoss,frankincense|vanilla|honey|vetiver|cedar|oud|patchouli|white_musk|amber|labdanum,balanced,0.6053,0.4247,0.5853,huggingface
771,New York 5th Avenue Eau de Parfum,Unknown,floral,bergamot,rose|violet|guaiac_wood,caramel|vanilla|white_musk|cedar,joyful|calming,0.735,0.385,0.44,huggingface
772,Velvet Amber,Unknown,citrus,bergamot|lemon,geranium|rose|saffron,leather|amber|sandalwood|vanilla|oud,balanced,0.649,0.499,0.574,huggingface
773,Cannabis Blue Eau de Parfum,Unknown,woody,eucalyptus|black_pepper|grapefruit,cardamom|guaiac_wood,oud|patchouli|cedar,powerful,0.55,0.5913,0.6075,huggingface
774,Cannabis Intense Eau de Parfum,Unknown,spicy,pink_pepper|orange,cardamom|saffron,oud|cedar|white_musk,balanced,0.6071,0.5714,0.5971,huggingface
775,Ishtar Eau de Toilette,Unknown,oriental,,lily_of_the_valley,frankincense|benzoin|sandalwood|white_musk,joyful|calming,0.664,0.306,0.522,huggingface
776,Jasmin Antique Eau de Toilette,Unknown,floral,,jasmine|clove,white_musk|vanilla,joyful,0.705,0.4175,0.5,huggingface
777,Flos Mortis Eau de Toilette,Unknown,floral,,tuberose|jasmine,leather|white_musk,powerful,0.61,0.5,0.6325,huggingface
778,Crystal Pistil Eau de Parfum,Unknown,musk,orange|pink_pepper,jasmine,white_musk|ambroxan,joyful,0.724,0.552,0.51,huggingface
779,Oud Du Bois Attar / Perfume Oil,Unknown,woody,mandarin,saffron,oud|cedar|white_musk|amber,powerful,0.5983,0.46,0.6133,huggingface
780,Areej Attar / Perfume Oil,Unknown,woody,bergamot,rose|violet|guaiac_wood,caramel|cedar|vanilla|oud,joyful,0.6887,0.4125,0.505,huggingface
781,Sedley Eau de Parfum,Unknown,woody,mandarin|grapefruit|lemon|mint,rose|geranium,frankincense|sandalwood|cedar|vetiver|patchouli|ambroxan,joyful,0.6608,0.5175,0.5292,huggingface
782,Tigerlust Pure Parfum,Unknown,citrus,bergamot|mandarin|black_pepper,,cedar|sandalwood|white_musk,joyful,0.6933,0.5383,0.4967,huggingface
783,Naga Layyen Organic Oud Pure Oud,Unknown,spicy,black_pepper|ginger,saffron|rose,white_musk|honey|sandalwood|cedar,balanced,0.6387,0.4788,0.56,huggingface
784,People's Kampot Organic Oud Pure Oud,Unknown,leather,,,tobacco|leather,melancholic|powerful,0.3,0.56,0.865,huggingface
785,Oud Dhul Kifl Organic Oud Pure Oud,Unknown,oriental,mandarin,,honey|tobacco|benzoin|frankincense|oud,powerful,0.58,0.4317,0.635,huggingface
786,Satori Fusho Organic Oud,Unknown,fresh,green_tea,,,joyful|delicate,0.78,0.55,0.35,huggingface
787,Bois de Borneo Oud,Unknown,oriental,,,honey|vanilla|tobacco|benzoin,joyful|calming,0.6525,0.3275,0.515,huggingface
788,American Oud,Unknown,leather,,coffee,tobacco|leather|benzoin,powerful,0.47,0.5225,0.725,huggingface
